serie,n,estadistico_adf,p_valor,rezagos_usados,critico_5pct,rechaza_raiz_unitaria_5pct
LTC,2158,-2.2784844093552303,0.1790010933287871,26,-2.8628802551435264,False
BTC,2183,-1.6009826213887148,0.4830998470316056,1,-2.862864895984805,False
ETH,2178,-2.7942535200204763,0.059099311846665586,6,-2.8628679395895342,False
SOL,2184,-2.029347486417984,0.2738553097479587,0,-2.8628642889373044,False
XRP,2167,-2.002902324818794,0.2853019826510536,17,-2.8628746849930136,False
ADA,2162,-2.339741066824999,0.15947074339032413,22,-2.8628777737918454,False
