serie,n,estadistico_adf,p_valor,rezagos_usados,critico_5pct,rechaza_raiz_unitaria_5pct
LTC,2183,-48.43342714967581,0.0,0,-2.862864895984805,True
BTC,2183,-48.41291650419079,0.0,0,-2.862864895984805,True
ETH,2174,-14.23164998081634,1.5927399748059844e-26,9,-2.862870384560204,True
SOL,2174,-13.30731302680821,6.856444163002841e-25,9,-2.862870384560204,True
XRP,2183,-47.81398400271397,0.0,0,-2.862864895984805,True
ADA,2183,-48.38782674143409,0.0,0,-2.862864895984805,True
