ruido,semillas,ruido_relativo,giros_verdaderos,giros_detectados,aciertos,aciertos_exactos,invertidos,falsos_positivos,recall,recall_exacto,precision,falsos_por_giro_verdadero
0.5,10,0.3588,498,498,498,471,0,0,1.0,0.9444,1.0,0.0
0.6,10,0.4306,498,498,498,452,0,0,1.0,0.9068,1.0,0.0
0.7,10,0.5023,498,498,494,427,0,4,0.9916,0.8567,0.9916,0.0084
0.8,10,0.5741,498,498,491,412,0,7,0.9858,0.8268,0.9858,0.0142
0.9,10,0.6458,498,498,486,390,0,12,0.9761,0.7833,0.9761,0.0239
1.0,10,0.7176,498,498,478,363,0,20,0.9599,0.7291,0.9599,0.0401
1.25,10,0.897,498,498,468,323,0,30,0.9399,0.6494,0.9399,0.0601
1.5,10,1.0764,498,498,458,298,0,40,0.9194,0.5982,0.9194,0.0806
