modelo,n,f1_macro,precision_direccional,exactitud,f1_maximo,f1_minimo,f1_continuidad
logistica_balanceada,1959,0.255,0.7772,0.3093,0.1768,0.1825,0.4057
logistica_sin_balancear,1959,0.3161,0.0,0.9015,0.0,0.0,0.9482
arboles_balanceado,1959,0.3158,0.0,0.8999,0.0,0.0,0.9473
arboles_sin_balancear,1959,0.3161,0.0,0.9015,0.0,0.0,0.9482
